Spanish,English,Mnemonic,MnemonicWord
vez,time (as in number of times),"Is this the first TIME you’ve broken a VASE?",vase
caso,case; occasion,"In the CASE of rain, the CAUSE OF the leaks will become clear.",case
año,year,"A GNOcchi has been under the fridge for a YEAR.",gnocchi
país,country,"Who PAYS less rent, people who live in the city or the COUNTRY?",pays
tiempo,time; weather,"Island WEATHER encourages a relaxed sense of TIME and life with a slow TEMPO.",tempo
lugar,place; position,"PLACE your LUGGAGEe over there.",luggage
día,day,"It was a bad DAY for the MEDIA today.",media
persona,person,"The actor plays a PERSON with a good PERSONA.",person
cosa,thing,"This THING is very COSY.",cosy
hora,hour; time,"Her AURA was visible for only one HOUR.",aura
hombre,man; mankind; husband,"The MAN stranded on the island can’t survive on BREAD alone.",man
trabajo,work; job; effort,"I WORK making TRAVEL BAGS.",travel
parte,part; portion,"What PART or PORTION of the food can I bring to the PARTY?",party
punto,point; dot; period,"PUNT the ball to that POINT over there.",punt
vida,life,"FEED the plants water to give them LIFE.",feed
mano,hand,"She drew the HAND in MONOCHROME.",monochrome
momento,moment; time,"What a MOMENT, OH my god!",moment
manera,manner; way,"The children had good MANNERS and sat still when the MENORAH candles were lit.",menorah
forma,form; shape; way,"I’d like to make a FORMAL complaint about the SHAPE of the design.",shape
fin,end,"The tail FIN is at the END of the fish.",fin
casa,house,"My HOUSE is in CASABLANCA.",casa
tipo,type; kind,"That TYPE of pool is too DEEP for me?",type
mundo,world,"The MOON blocked light from reaching the WORLD.",moon
gente,people,"The HEN ran around the PEOPLE.",hen
mujer,woman; wife,"The WOMAN’s WIFE had white hair that looked like milk, so they called it MOO HAIR.",moo
